@relation CategorizedFeedback_1st_sy2026_2027

@attribute comment_text string
@attribute predicted_category {Facilities,Laboratory,Instruction,Curriculum,Evaluation}

@data
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Facilities
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Facilities
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Facilities
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Curriculum
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Instruction
'The teacher explains programming concepts clearly and gives practical examples that help a lot. I really enjoyed learning how to code. The projects were fun and made the lessons easier to understand. I struggled with the coding exercises - they were confusing and poorly explained.',Laboratory
